i,gene_name,model,model_name
2,NIPAL3,1,const_scaling
4,CD99,1,const_scaling
5,LASP1,1,const_scaling
7,RBM5,1,const_scaling
9,AK2,1,const_scaling
11,KDM1A,1,const_scaling
12,RBM6,1,const_scaling
13,RECQL,1,const_scaling
14,NDUFAB1,1,const_scaling
15,CDC27,1,const_scaling
17,SLC25A5,1,const_scaling
18,MCUB,1,const_scaling
21,CREBBP,1,const_scaling
22,KMT2E,1,const_scaling
23,MYCBP2,1,const_scaling
24,ITGA3,1,const_scaling
25,ZFX,1,const_scaling
27,AP2B1,1,const_scaling
28,TNFRSF12A,1,const_scaling
29,RALA,1,const_scaling
30,GGCT,1,const_scaling
32,ADIPOR2,1,const_scaling
34,PAFAH1B1,1,const_scaling
35,PAX6,1,const_scaling
37,PSMB1,1,const_scaling
40,SPAG9,1,const_scaling
44,RPS20,1,const_scaling
45,CSDE1,1,const_scaling
46,UBE3C,1,const_scaling
47,REV3L,1,const_scaling
48,VTA1,1,const_scaling
50,ZNF207,1,const_scaling
51,UQCRC1,1,const_scaling
52,CD9,1,const_scaling
54,FYN,1,const_scaling
58,TTC19,1,const_scaling
59,PTBP1,1,const_scaling
60,PLAUR,1,const_scaling
63,PPP5C,1,const_scaling
65,ELOVL5,1,const_scaling
67,PSMC4,1,const_scaling
70,HEBP1,1,const_scaling
74,MDH1,1,const_scaling
75,SLC30A9,1,const_scaling
76,ZMYND11,1,const_scaling
77,NUDCD3,1,const_scaling
80,AGPS,1,const_scaling
82,ZRANB1,1,const_scaling
83,SAMD4A,1,const_scaling
85,ZDHHC6,1,const_scaling
86,RNH1,1,const_scaling
87,NDUFS1,1,const_scaling
89,DERA,1,const_scaling
91,GCLM,1,const_scaling
94,PHF20,1,const_scaling
95,TOMM34,1,const_scaling
96,SEC63,1,const_scaling
97,VIM,1,const_scaling
99,CD44,1,const_scaling
100,VEZT,1,const_scaling
101,SNX1,1,const_scaling
102,ARNTL2,1,const_scaling
103,BCLAF1,1,const_scaling
104,SLC39A9,1,const_scaling
107,FAM13B,1,const_scaling
111,FUT8,1,const_scaling
112,UBA6,1,const_scaling
113,PIAS1,1,const_scaling
114,SLC4A7,1,const_scaling
115,TMSB10,1,const_scaling
117,VCL,1,const_scaling
119,RFC1,1,const_scaling
121,CUL3,1,const_scaling
125,BOD1L1,1,const_scaling
126,MAT2B,1,const_scaling
129,RIPOR1,1,const_scaling
